"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"27/07/16","9","23","27","34","37","43","24","45"
"20/07/16","12","16","23","27","29","41","1","38"
"13/07/16","1","14","16","27","31","32","37","39"
"06/07/16","2","8","15","29","41","45","24","37"
"29/06/16","21","22","23","28","31","42","14","37"
"22/06/16","4","5","10","20","24","26","17","21"
"15/06/16","25","28","30","39","40","42","6","13"
"08/06/16","20","22","33","39","42","43","27","28"
"01/06/16","12","14","15","29","35","36","2","13"
"25/05/16","18","22","31","34","36","41","10","26"
"18/05/16","2","16","29","35","36","41","24","38"
"11/05/16","1","8","11","13","22","31","25","41"
"04/05/16","8","29","31","37","41","44","9","43"
"27/04/16","17","19","33","36","38","40","5","45"
"20/04/16","7","13","21","31","39","45","14","30"
"13/04/16","23","32","35","36","38","39","5","13"
"06/04/16","8","13","14","29","33","42","9","10"
"30/03/16","18","19","28","36","39","44","2","11"
"23/03/16","5","6","18","25","44","45","14","40"
"16/03/16","5","22","23","30","33","35","14","24"
"09/03/16","5","6","13","24","25","26","4","9"
"02/03/16","6","23","25","29","38","45","34","44"
"24/02/16","2","12","17","27","39","44","33","45"
"17/02/16","17","25","29","30","31","34","18","38"
"10/02/16","1","11","16","30","32","34","27","31"
"03/02/16","8","14","25","28","30","35","3","27"
"27/01/16","16","28","35","43","44","45","4","30"
"20/01/16","18","22","26","39","41","44","2","37"
"13/01/16","11","13","15","19","21","28","31","41"
"06/01/16","12","23","31","35","36","39","19","24"
"30/12/15","13","18","22","24","28","33","43","44"
"23/12/15","2","3","7","20","28","31","24","40"
"16/12/15","1","3","11","21","23","41","33","35"
"09/12/15","13","17","35","38","41","45","10","21"
"02/12/15","12","16","22","28","32","40","18","30"
"25/11/15","7","10","26","38","42","44","2","13"
"18/11/15","4","20","21","27","30","31","35","36"
"11/11/15","4","8","25","27","33","35","7","15"
"04/11/15","8","10","16","20","37","41","5","30"
"28/10/15","5","13","19","22","37","39","29","31"
"21/10/15","3","12","16","24","39","43","7","8"
"14/10/15","1","4","10","22","32","43","13","30"
"07/10/15","14","15","19","32","33","42","24","36"
"30/09/15","10","16","24","25","35","37","11","41"
"23/09/15","2","16","22","26","32","39","4","44"
"16/09/15","16","18","20","23","27","35","2","32"
"09/09/15","1","6","16","23","27","31","11","37"
"02/09/15","5","15","16","25","33","44","10","29"
"26/08/15","6","25","26","30","32","41","11","38"
"19/08/15","7","25","30","38","41","43","33","42"
"12/08/15","2","6","14","15","27","32","13","42"
"05/08/15","2","7","13","21","35","41","14","45"
"29/07/15","9","19","29","35","41","44","2","43"
"22/07/15","8","12","15","29","32","38","17","27"
"15/07/15","9","19","21","23","25","44","32","35"
"08/07/15","1","11","19","26","29","40","6","24"
"01/07/15","5","13","14","24","29","35","20","44"
"24/06/15","5","15","19","26","28","37","18","42"
"17/06/15","19","24","26","34","39","44","1","12"
"10/06/15","1","2","11","20","37","38","18","35"
"03/06/15","3","21","31","36","37","38","1","4"
"27/05/15","5","20","32","34","42","45","36","38"
"20/05/15","16","19","25","29","33","37","26","41"
"13/05/15","5","9","12","25","32","38","28","37"
"06/05/15","2","6","24","26","33","39","16","37"
"29/04/15","8","10","19","29","35","43","1","17"
"22/04/15","2","4","11","23","26","41","32","33"
"15/04/15","3","6","19","22","29","31","24","33"
"08/04/15","16","20","24","30","33","42","1","41"
"01/04/15","1","21","22","24","31","37","5","43"
"25/03/15","5","9","11","20","31","36","14","25"
"18/03/15","4","8","21","25","26","34","11","33"
"11/03/15","2","13","17","21","26","45","28","30"
"04/03/15","1","4","26","29","32","45","24","36"
"25/02/15","2","6","24","31","34","35","4","26"
"18/02/15","7","8","10","18","37","42","15","31"
"11/02/15","8","12","26","30","32","38","31","34"
"04/02/15","2","24","27","33","34","36","29","43"
"28/01/15","3","4","13","24","36","38","10","29"
"21/01/15","1","14","24","27","43","45","20","40"
"14/01/15","8","17","36","39","43","44","6","14"
"07/01/15","5","7","11","15","25","26","39","45"
"31/12/14","2","7","14","25","26","39","6","8"
"24/12/14","1","7","12","13","14","21","35","38"
"17/12/14","6","13","22","25","36","40","23","41"
"10/12/14","7","11","18","19","20","37","25","35"
"03/12/14","3","15","17","21","32","43","16","24"
"26/11/14","3","8","14","23","44","45","25","36"
"19/11/14","1","3","14","16","29","42","9","23"
"12/11/14","12","18","20","30","33","42","4","26"
"05/11/14","4","13","28","34","37","43","17","21"
"29/10/14","1","16","19","32","38","41","24","42"
"22/10/14","1","16","21","26","31","38","25","43"
"15/10/14","6","11","19","24","40","42","4","10"
"08/10/14","9","12","13","15","32","33","8","17"
"01/10/14","5","9","20","22","25","36","42","44"
"24/09/14","2","8","9","10","12","18","22","27"
"17/09/14","6","7","17","26","31","32","3","14"
"10/09/14","8","23","25","34","41","42","14","18"
"03/09/14","7","13","17","24","32","41","26","28"
"27/08/14","5","7","9","34","36","44","19","40"
"20/08/14","3","4","6","18","21","27","15","34"
"13/08/14","11","34","35","36","38","40","18","26"
"06/08/14","1","16","20","29","37","44","6","32"
"30/07/14","2","13","25","31","35","40","20","43"
"23/07/14","1","6","24","25","29","34","17","45"
"16/07/14","3","25","27","29","33","36","41","43"
"09/07/14","12","13","16","26","39","41","2","40"
"02/07/14","4","9","18","25","27","42","20","45"
"25/06/14","11","25","33","34","42","45","13","23"
"18/06/14","1","12","28","29","31","45","7","8"
"11/06/14","3","17","18","35","37","38","16","23"
"04/06/14","7","8","20","26","28","32","9","40"
"28/05/14","15","19","27","30","32","42","2","13"
"21/05/14","5","11","12","32","33","40","15","29"
"14/05/14","3","5","9","13","20","27","25","44"
"07/05/14","1","11","20","23","41","44","17","19"
"30/04/14","1","8","14","22","28","38","7","13"
"23/04/14","5","9","11","14","21","39","34","35"
"16/04/14","10","19","22","23","33","41","12","44"
"09/04/14","8","16","32","38","41","44","21","45"
"02/04/14","6","7","13","26","34","38","25","35"
"26/03/14","11","16","20","25","34","43","30","42"
